"timestamp","total_users","active_users","inactive_users"
"1595286004",777,169,608
"1595372404",783,176,607
"1595458803",790,183,607
"1595545203",796,188,608
"1595631603",799,192,607
"1595718004",800,191,609
"1595804403",801,191,610
"1595890804",803,194,609
"1595977203",804,191,613
"1596063604",805,188,617
"1596137502",806,185,621
"1596150004",806,185,621
"1596236403",808,186,622
"1596322803",809,179,630
"1596409203",810,178,632
"1596495603",813,180,633
"1596582002",813,172,641
"1596668403",815,171,644
"1596754803",815,168,647
"1596841202",817,168,649
"1596927603",817,168,649
"1597014003",817,166,651
"1597100404",819,165,654
"1597186803",821,162,659
"1597273203",823,164,659
"1597359602",824,156,668
"1597446002",825,154,671
"1597532403",825,154,671
"1597618803",826,153,673
"1597705204",826,153,673
"1597791602",827,155,672
"1597878002",830,156,674
"1597964403",833,159,674
"1598050803",834,160,674
"1598137202",834,158,676
"1598223603",834,156,678
"1598310003",835,156,679
"1598396402",836,156,680
"1598482803",836,141,695
"1598569202",838,132,706
"1598655602",838,129,709
"1598742002",838,123,715
"1598828402",839,123,716
"1598914802",840,123,717
"1599001203",842,122,720
"1599087602",843,121,722
"1599174002",845,121,724
"1599260403",847,117,730
"1599346802",848,117,731
"1599433202",849,117,732
"1599519604",854,117,737
"1599606002",855,120,735
"1599692404",862,125,737
"1599778802",863,126,737
"1599865202",863,121,742
"1599951603",864,121,743
"1600038004",864,121,743
"1600124403",866,122,744
"1600210804",866,120,746
"1600297204",866,120,746
"1600383601",868,124,744
"1600470004",869,120,749
"1600556403",870,120,750
"1600642804",870,119,751
"1600729203",870,118,752
"1600815604",870,118,752
"1600902004",873,118,755
"1600988403",875,120,755
"1601074804",877,121,756
"1601161204",877,119,758
"1601247604",877,119,758
"1601334004",879,120,759
"1601420404",881,120,761
"1601506802",882,121,761
"1601593202",885,120,765
"1601679603",887,121,766
"1601766003",887,123,764
"1601852404",887,123,764
"1601938803",889,124,765
"1602025203",892,124,768
"1602111603",894,122,772
"1602198004",897,128,769
"1602284404",898,125,773
"1602370804",899,127,772
"1602457203",899,126,773
"1602716404",907,134,773
"1602802807",908,135,773
"1602889205",911,137,774
"1602975606",912,134,778
"1603062005",912,134,778
"1603148405",914,136,778
"1603234806",916,137,779
"1603321202",919,139,780
"1603407602",920,140,780
"1603494004",922,136,786
"1603580404",923,132,791
"1603670402",924,133,791
"1603843202",930,137,793
"1604102404",939,138,801
"1604534402",946,136,810
"1604880003",960,149,811
"1604966403",964,153,811
"1605225603",970,153,817
"1605312002",973,157,816
"1605398402",973,155,818
"1605484803",974,155,819
"1605571203",976,156,820
"1605657604",979,155,824
"1606089603",993,159,834
"1606348803",1001,161,840
"1606435202",1004,167,837
"1606608003",1009,161,848
"1606953603",1021,169,852
"1607040002",1025,172,853
"1607212804",1027,172,855
"1607472003",1033,174,859
"1607558402",1040,182,858
"1607644803",1043,180,863
"1613650911",1221,232,989
"1613692803",1224,235,989
"1613779203",1228,235,993
"1613865602",1229,236,993
"1613952002",1229,235,994
"1614038402",1237,241,996
"1614124803",1240,244,996
"1614211203",1245,246,999
"1614297603",1248,239,1009
"1614384003",1250,228,1022
"1614470403",1251,226,1025
"1614556802",1252,227,1025
"1614643202",1257,230,1027
"1614729603",1264,231,1033
"1614816003",1269,228,1041
"1614902404",1270,223,1047
"1614988803",1275,224,1051
"1615075203",1276,222,1054
"1615161603",1276,221,1055
"1615248004",1282,228,1054
"1615334404",1289,231,1058
"1615420803",1293,234,1059
"1615507204",1301,235,1066
"1615593602",1306,235,1071
"1615680004",1309,234,1075
"1615766403",1309,234,1075
"1615852803",1312,237,1075
"1615939204",1319,245,1074
"1616025603",1321,246,1075
"1616112004",1329,251,1078
"1616198403",1332,254,1078
"1616284804",1333,260,1073
"1616371202",1337,262,1075
"1616457603",1358,282,1076
"1616544004",1365,291,1074
"1616595046",1367,293,1074
"1616630403",1368,294,1074
"1616716804",1373,303,1070
"1616803204",1376,305,1071
"1616889603",1377,296,1081
"1616972403",1378,293,1085
"1617058802",1381,295,1086
"1617145202",1388,296,1092
"1617231603",1391,297,1094
"1617318002",1395,297,1098
"1617404403",1402,298,1104
"1617490802",1402,293,1109
"1617577203",1404,290,1114
"1617663603",1406,291,1115
"1617750002",1409,289,1120
"1617836403",1411,286,1125
"1617922802",1413,287,1126
"1618009203",1416,285,1131
